w_Si(nm),h_Si(nm),Refractive Index(real part),Refractive Index(imaginary part) 
143.6,220,2.2605,-0.04514
143.7,220,2.2604,-0.045138
143.8,220,2.2604,-0.045031
143.9,220,2.2603,-0.045073
144,220,2.2602,-0.045059
144.1,220,2.2601,-0.04509
144.2,220,2.26,-0.045084
144.3,220,2.2599,-0.045082
144.4,220,2.2598,-0.045025
144.5,220,2.2597,-0.04511
144.6,220,2.2596,-0.045068
144.7,220,2.2595,-0.045079
144.8,220,2.2594,-0.045084
144.9,220,2.2594,-0.04507
145,220,2.2593,-0.045068
145.1,220,2.2592,-0.045067
145.2,220,2.259,-0.045067
145.3,220,2.259,-0.045046
145.4,220,2.2589,-0.045111
145.5,220,2.2588,-0.04512
145.6,220,2.2587,-0.04513
145.7,220,2.2586,-0.045108
145.8,220,2.2588,-0.045152
145.9,220,2.2588,-0.045126
146,220,2.2587,-0.045124
146.1,220,2.2586,-0.045123
146.2,220,2.2585,-0.04512
146.3,220,2.2584,-0.045118
146.4,220,2.2583,-0.045162
146.5,220,2.258,-0.0451
146.6,220,2.2579,-0.04509
146.7,220,2.2578,-0.045149
146.8,220,2.2577,-0.045151
146.9,220,2.2576,-0.045129
147,220,2.2575,-0.045136
147.1,220,2.2572,-0.045193
147.2,220,2.2571,-0.045221
147.3,220,2.257,-0.04523
147.4,220,2.257,-0.045185
147.5,220,2.2569,-0.045136
147.6,220,2.2568,-0.045136
147.7,220,2.2567,-0.045185
147.8,220,2.2566,-0.045174
147.9,220,2.2565,-0.045168
148,220,2.2565,-0.045129
148.1,220,2.2563,-0.045156
148.2,220,2.2563,-0.045122
148.3,220,2.2562,-0.04512
148.4,220,2.2561,-0.045126
148.5,220,2.256,-0.045125
148.6,220,2.2559,-0.045123
148.7,220,2.2558,-0.045128
148.8,220,2.2557,-0.045128
148.9,220,2.2557,-0.045124
149,220,2.2556,-0.045104
149.1,220,2.2555,-0.045163
149.2,220,2.2554,-0.045172
149.3,220,2.2553,-0.045126
149.4,220,2.2551,-0.045204
149.5,220,2.2551,-0.045166
149.6,220,2.255,-0.045171
149.7,220,2.2549,-0.045149
149.8,220,2.2548,-0.045149
149.9,220,2.2548,-0.045145
150,220,2.2546,-0.045138
150.1,220,2.2546,-0.045137
150.2,220,2.2545,-0.045137
150.3,220,2.2544,-0.045125
150.4,220,2.2544,-0.045115
150.5,220,2.2543,-0.045113
150.6,220,2.2542,-0.04511
150.7,220,2.2541,-0.045111
150.8,220,2.254,-0.045102
150.9,220,2.2539,-0.045121
151,220,2.2538,-0.045101
151.1,220,2.2538,-0.045098
151.2,220,2.2537,-0.045098
151.3,220,2.2536,-0.045096
151.4,220,2.2535,-0.045094
151.5,220,2.2534,-0.045082
151.6,220,2.2533,-0.045078
151.7,220,2.2533,-0.045075
151.8,220,2.2531,-0.045113
151.9,220,2.253,-0.045113
152,220,2.253,-0.045076
